,variable,value
112,K-Means,0.5046833897362035
113,K-Means,0.49237636147098307
114,K-Means,0.5726634016266625
115,K-Means,0.5130822805287304
116,K-Means,0.5208669080082539
117,K-Means,0.6349853534119688
118,K-Means,0.8153771516872506
119,K-Means,0.32887152276209897
120,K-Means,0.7391489062382525
121,K-Means,0.6402753769900551
122,K-Means,0.557962602124237
123,K-Means,0.6695238627722631
124,K-Means,0.6754611813118123
125,K-Means,0.48392855675951507
126,K-Means,0.5520671271161155
127,K-Means,0.5292896075669777
128,K-Means,0.7035381481756058
129,K-Means,0.5996444614832342
130,K-Means,0.858781361681195
131,K-Means,0.7112715544439965
132,K-Means,0.5512510587612094
133,K-Means,0.656092723918545
134,K-Means,0.5377397450387096
135,K-Means,0.6189103270179355
136,K-Means,0.09405407058349617
137,K-Means,0.8087075237904227
138,K-Means,0.7412972004973017
139,K-Means,0.7178977208737479
140,K-Means,0.5401465204794342
141,K-Means,0.7017097760949117
142,K-Means,0.662993707325918
143,K-Means,0.6906774413766583
144,K-Means,0.7656798951549062
145,K-Means,0.6530790965023567
146,K-Means,0.7343774953019995
147,K-Means,0.36942374892147145
148,K-Means,0.6422947657475142
149,K-Means,0.5702187100955981
150,K-Means,0.5458468156904381
151,K-Means,0.8666995327365993
152,K-Means,0.48094524100054253
153,K-Means,0.699350717840226
154,K-Means,0.39057905023496786
155,K-Means,0.6318594011967644
156,K-Means,0.8111799567675939
157,K-Means,0.524086667709184
158,K-Means,0.5566673673410008
159,K-Means,0.8443421274989147
160,K-Means,0.5674677952451639
161,K-Means,0.822768440165865
162,K-Means,0.7007925553500769
163,K-Means,0.6434792126108816
164,K-Means,0.5346166362229547
165,K-Means,0.5259045454837925
166,K-Means,0.4985829033357731
167,K-Means,0.61234207398966
168,K-Means,0.4857622864954724
169,K-Means,0.7420478220894595
170,K-Means,0.6201450619023892
171,K-Means,0.7318085377456931
172,K-Means,0.5459178891401771
173,K-Means,0.6750502323111068
174,K-Means,0.6327298076441423
175,K-Means,0.591183387719205
176,K-Means,0.49790763532605015
177,K-Means,0.3485600997431143
178,K-Means,0.7721774753502518
179,K-Means,0.39763352618052505
180,K-Means,0.5266395923616256
181,K-Means,0.5826231581941146
182,K-Means,0.5350413194412083
183,K-Means,0.10495719252040278
184,K-Means,0.571581910025059
185,K-Means,0.08700418214191452
186,K-Means,0.4365644660507246
187,K-Means,0.5412353129870495
188,K-Means,0.8266420067123053
189,K-Means,0.41207091001171414
190,K-Means,0.6722792397962849
191,K-Means,0.5230154056361118
192,K-Means,0.6398207676687492
193,K-Means,0.08858279896543192
194,K-Means,0.698201567753516
195,K-Means,0.7248096279198679
196,K-Means,0.5774282197899012
197,K-Means,0.529376982731085
198,K-Means,0.5662946100648263
199,K-Means,0.8513313346508776
200,K-Means,0.6270457290299175
201,K-Means,0.5610470054160284
202,K-Means,0.5042591715704852
203,K-Means,0.5229382423778306
204,K-Means,0.6945661220352315
205,K-Means,0.7839915556946855
206,K-Means,0.5783564929681658
207,K-Means,0.6646011248003705
208,K-Means,0.7735024388086502
209,K-Means,0.5596926073484616
210,K-Means,0.7107109459836154
211,K-Means,0.12196805437575867
212,K-Means,0.09833995610033695
213,K-Means,0.774565595720024
214,K-Means,0.8003761084897584
215,K-Means,0.5037440304214302
216,K-Means,0.49310971011690596
217,K-Means,0.6250730926115844
218,K-Means,0.44614897409418086
219,K-Means,0.6975667686390216
220,K-Means,0.6253003408451676
221,K-Means,0.734406191007531
222,K-Means,0.8670090134800559
223,K-Means,0.08756496628236861
224,K-Means,0.6827213959709978
225,K-Means,0.7352429070305064
226,K-Means,0.7235764992597553
227,K-Means,0.10120193302607233
228,K-Means,0.0881487209090496
229,K-Means,0.6957080307269156
230,K-Means,0.8255350722920938
231,K-Means,0.7863321035161336
232,K-Means,0.5039006093498934
