,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
220,TSPEAR,35.7,51.4,11.3,77.4,7.9
221,MIPOL1,548.9,661.4,550.1,456.5,745.6
222,MIPOL1,1159.0,1354.1,1160.4,1758.0,1097.6
223,C6orf141,101.0,10.4,55.7,18.5,2.9
224,ALMS1P,18.0,93.7,46.4,98.7,51.4
225,MYO3B,2.5,35.8,4.4,3.5,14.1
226,ADAM21,73.6,87.3,115.9,30.6,68.8
227,TRIML2,7.8,10.1,10.0,5.9,6.1
228,ABCC13,18.3,28.0,49.8,6.1,4.3
229,ABCC13,37.4,42.5,39.3,27.7,61.7
230,IL12RB1,35.7,63.9,81.0,18.2,4.3
231,GTF2A1L,35.0,29.6,75.7,45.4,50.4
232,TRPV3,100.8,107.7,111.0,146.1,16.4
233,CNBD1,30.0,63.3,50.1,62.6,16.4
234,CNBD1,19.4,18.7,41.3,26.4,3.6
235,ABCC12,15.4,6.9,62.9,2.8,23.3
236,MMP21,59.6,15.4,2.6,3.2,52.7
237,TMEM190,15.6,26.9,26.3,18.5,62.5
238,GAS2L2,27.7,17.6,27.5,26.0,17.0
239,KCNG4,48.7,114.4,25.9,61.0,51.1
240,PXT1,52.4,22.1,92.9,9.7,6.6
241,CACNG5,70.7,98.5,29.3,160.7,119.1
242,LINC00308,5.7,52.6,4.1,3.3,39.4
243,LINC00308,28.7,3.7,46.9,108.3,42.2
244,FAM223A /// FAM223B,57.5,35.4,67.9,13.5,39.4
245,WFDC11,5.5,5.4,7.1,53.7,11.2
246,IFNL2 /// IFNL3,18.1,59.4,49.7,68.6,14.4
247,JAK1,104.9,63.0,99.8,92.9,150.8
248,JAK1,30.0,75.2,69.6,108.2,10.0
249,CDC42SE2,437.7,296.7,449.4,353.5,376.8
250,CDC42SE2,642.9,569.5,660.8,656.8,602.8
251,ACACB,439.6,445.5,257.5,386.5,310.5
252,ACACB,17.2,18.9,17.0,55.5,23.6
253,RFWD2,1256.1,1202.3,1121.9,1162.7,1258.6
254,STX6,673.8,808.9,740.1,892.8,713.0
255,ANLN,1926.0,859.3,937.7,1366.8,2048.9
256,SPRR4,159.2,272.4,301.5,242.8,157.5
257,POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,1714.5,1493.8,1638.4,1515.0,1189.5
258,LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,946.1,1002.2,803.2,709.2,675.6
259,HSH2D,55.8,7.8,10.6,9.6,2.9
260,TRNT1,1910.3,1691.8,1876.5,1624.9,1628.3
261,TMEM163,125.5,253.7,277.1,149.9,88.8
262,ARHGAP5,403.9,442.7,447.7,417.0,321.9
263,HERPUD2,1650.2,1440.0,1446.9,1870.7,1132.0
264,JMJD6,3.1,11.0,2.5,15.1,3.3
