,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score,impuType,dataset
14,Bestfit,{BASC A},,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857,missforestMetrics,yeast_cell
15,Bestfit,{K-Means},0.46153846153846145,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,missforestMetrics,yeast_cell
16,Bestfit,{Onestep},,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.303030303030303,missforestMetrics,yeast_cell
17,Bestfit,"{BASC A, K-Means}",,0.5555555555555556,0.4,0.2222222222222222,0.2857142857142857,missforestMetrics,yeast_cell
18,Bestfit,"{BASC A, Onestep}",,0.5333333333333333,0.3333333333333333,0.1666666666666666,0.2222222222222222,missforestMetrics,yeast_cell
19,Bestfit,"{K-Means, Onestep}",,0.4888888888888889,0.3333333333333333,0.2777777777777778,0.303030303030303,missforestMetrics,yeast_cell
20,Bestfit,"{BASC A, K-Means, Onestep}",,0.5111111111111111,0.375,0.3333333333333333,0.3529411764705882,missforestMetrics,yeast_cell
0,MIBNI,{BASC A},0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754,probsMetrics,yeast_cell
1,MIBNI,{K-Means},0.7179487179487178,0.4,0.4,1.0,0.5714285714285714,probsMetrics,yeast_cell
2,MIBNI,{Onestep},0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278,probsMetrics,yeast_cell
3,MIBNI,"{BASC A, K-Means}",0.7777777777777778,0.4888888888888889,0.4358974358974359,0.9444444444444444,0.5964912280701754,probsMetrics,yeast_cell
4,MIBNI,"{BASC A, Onestep}",0.8034188034188035,0.4,0.3846153846153846,0.8333333333333334,0.5263157894736842,probsMetrics,yeast_cell
5,MIBNI,"{K-Means, Onestep}",0.7692307692307692,0.4,0.3953488372093023,0.9444444444444444,0.5573770491803278,probsMetrics,yeast_cell
6,MIBNI,"{BASC A, K-Means, Onestep}",0.7521367521367521,0.4222222222222222,0.4047619047619047,0.9444444444444444,0.5666666666666667,probsMetrics,yeast_cell
7,LogicGep,{BASC A},0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,probsMetrics,yeast_cell
8,LogicGep,{K-Means},0.6923076923076923,0.5555555555555556,0.4166666666666667,0.2777777777777778,0.3333333333333333,probsMetrics,yeast_cell
9,LogicGep,{Onestep},0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667,probsMetrics,yeast_cell
10,LogicGep,"{BASC A, K-Means}",0.7692307692307692,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,probsMetrics,yeast_cell
11,LogicGep,"{BASC A, Onestep}",0.7948717948717948,0.5555555555555556,0.45,0.5,0.4736842105263157,probsMetrics,yeast_cell
12,LogicGep,"{K-Means, Onestep}",0.7692307692307692,0.6444444444444445,0.5833333333333334,0.3888888888888889,0.4666666666666667,probsMetrics,yeast_cell
13,LogicGep,"{BASC A, K-Means, Onestep}",0.7350427350427351,0.6,0.5,0.3333333333333333,0.4,probsMetrics,yeast_cell
14,Bestfit,{BASC A},0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,probsMetrics,yeast_cell
15,Bestfit,{K-Means},0.4786324786324786,0.4222222222222222,0.2777777777777778,0.2777777777777778,0.2777777777777778,probsMetrics,yeast_cell
16,Bestfit,{Onestep},0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25,probsMetrics,yeast_cell
17,Bestfit,"{BASC A, K-Means}",0.7094017094017093,0.5333333333333333,0.4,0.3333333333333333,0.3636363636363636,probsMetrics,yeast_cell
18,Bestfit,"{BASC A, Onestep}",0.7350427350427351,0.4888888888888889,0.3076923076923077,0.2222222222222222,0.2580645161290322,probsMetrics,yeast_cell
19,Bestfit,"{K-Means, Onestep}",0.6495726495726495,0.4666666666666667,0.2857142857142857,0.2222222222222222,0.25,probsMetrics,yeast_cell
20,Bestfit,"{BASC A, K-Means, Onestep}",0.5128205128205128,0.5111111111111111,0.3888888888888889,0.3888888888888889,0.3888888888888889,probsMetrics,yeast_cell
