,gene,binary,count,dataset,binarization,impu
137,MDM2,0,1,P53-MDM2,"{K-Means, Onestep}",og_bin
138,MDM2,1,1,P53-MDM2,"{K-Means, Onestep}",og_bin
139,WIP1,?,3,P53-MDM2,"{K-Means, Onestep}",og_bin
140,WIP1,0,1,P53-MDM2,"{K-Means, Onestep}",og_bin
141,WIP1,1,3,P53-MDM2,"{K-Means, Onestep}",og_bin
142,p53,?,1,P53-MDM2,"{K-Means, Onestep}",og_bin
143,p53,0,3,P53-MDM2,"{K-Means, Onestep}",og_bin
144,p53,1,3,P53-MDM2,"{K-Means, Onestep}",og_bin
145,ATM,0,1,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
146,ATM,1,6,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
147,MDM2,0,6,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
148,MDM2,1,1,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
149,WIP1,0,1,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
150,WIP1,1,6,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
151,p53,0,4,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
152,p53,1,3,P53-MDM2,"{K-Means, Onestep}",bin_onlyMissForest
153,ATM,0,1,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
154,ATM,1,6,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
155,MDM2,0,1,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
156,MDM2,1,6,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
157,WIP1,0,1,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
158,WIP1,1,6,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
159,p53,0,3,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
160,p53,1,4,P53-MDM2,"{K-Means, Onestep}",bin_Prob_and_MissForest
161,ATM,?,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
162,ATM,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
163,ATM,1,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
164,MDM2,?,5,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
165,MDM2,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
166,MDM2,1,1,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
167,WIP1,?,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
168,WIP1,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
169,WIP1,1,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
170,p53,?,1,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
171,p53,0,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
172,p53,1,3,P53-MDM2,"{BASC A, K-Means, Onestep}",og_bin
173,ATM,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
174,ATM,1,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
175,MDM2,0,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
176,MDM2,1,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
177,WIP1,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
178,WIP1,1,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
179,p53,0,4,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
180,p53,1,3,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
181,ATM,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
182,ATM,1,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
183,MDM2,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
184,MDM2,1,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
185,WIP1,0,1,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
186,WIP1,1,6,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
187,p53,0,3,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
188,p53,1,4,P53-MDM2,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
189,lexA,?,21,ecoli_data,{BASC A},og_bin
190,lexA,0,22,ecoli_data,{BASC A},og_bin
191,lexA,1,6,ecoli_data,{BASC A},og_bin
192,polB,?,8,ecoli_data,{BASC A},og_bin
193,polB,0,20,ecoli_data,{BASC A},og_bin
194,polB,1,21,ecoli_data,{BASC A},og_bin
195,recA,?,16,ecoli_data,{BASC A},og_bin
196,recA,0,27,ecoli_data,{BASC A},og_bin
197,recA,1,6,ecoli_data,{BASC A},og_bin
198,umuD,?,15,ecoli_data,{BASC A},og_bin
199,umuD,0,27,ecoli_data,{BASC A},og_bin
200,umuD,1,7,ecoli_data,{BASC A},og_bin
201,uvrA,?,35,ecoli_data,{BASC A},og_bin
202,uvrA,0,8,ecoli_data,{BASC A},og_bin
203,uvrA,1,6,ecoli_data,{BASC A},og_bin
204,uvrD,?,22,ecoli_data,{BASC A},og_bin
205,uvrD,0,15,ecoli_data,{BASC A},og_bin
206,uvrD,1,12,ecoli_data,{BASC A},og_bin
207,lexA,0,43,ecoli_data,{BASC A},bin_onlyMissForest
208,lexA,1,6,ecoli_data,{BASC A},bin_onlyMissForest
209,polB,0,20,ecoli_data,{BASC A},bin_onlyMissForest
210,polB,1,29,ecoli_data,{BASC A},bin_onlyMissForest
211,recA,0,43,ecoli_data,{BASC A},bin_onlyMissForest
212,recA,1,6,ecoli_data,{BASC A},bin_onlyMissForest
213,umuD,0,42,ecoli_data,{BASC A},bin_onlyMissForest
214,umuD,1,7,ecoli_data,{BASC A},bin_onlyMissForest
215,uvrA,0,43,ecoli_data,{BASC A},bin_onlyMissForest
216,uvrA,1,6,ecoli_data,{BASC A},bin_onlyMissForest
217,uvrD,0,37,ecoli_data,{BASC A},bin_onlyMissForest
218,uvrD,1,12,ecoli_data,{BASC A},bin_onlyMissForest
219,lexA,0,43,ecoli_data,{BASC A},bin_Prob_and_MissForest
220,lexA,1,6,ecoli_data,{BASC A},bin_Prob_and_MissForest
221,polB,0,28,ecoli_data,{BASC A},bin_Prob_and_MissForest
222,polB,1,21,ecoli_data,{BASC A},bin_Prob_and_MissForest
223,recA,0,43,ecoli_data,{BASC A},bin_Prob_and_MissForest
224,recA,1,6,ecoli_data,{BASC A},bin_Prob_and_MissForest
225,umuD,0,42,ecoli_data,{BASC A},bin_Prob_and_MissForest
226,umuD,1,7,ecoli_data,{BASC A},bin_Prob_and_MissForest
227,uvrA,0,43,ecoli_data,{BASC A},bin_Prob_and_MissForest
228,uvrA,1,6,ecoli_data,{BASC A},bin_Prob_and_MissForest
229,uvrD,0,37,ecoli_data,{BASC A},bin_Prob_and_MissForest
230,uvrD,1,12,ecoli_data,{BASC A},bin_Prob_and_MissForest
231,lexA,?,3,ecoli_data,{K-Means},og_bin
232,lexA,0,40,ecoli_data,{K-Means},og_bin
233,lexA,1,6,ecoli_data,{K-Means},og_bin
234,polB,?,3,ecoli_data,{K-Means},og_bin
235,polB,0,22,ecoli_data,{K-Means},og_bin
236,polB,1,24,ecoli_data,{K-Means},og_bin
237,recA,?,2,ecoli_data,{K-Means},og_bin
238,recA,0,40,ecoli_data,{K-Means},og_bin
239,recA,1,7,ecoli_data,{K-Means},og_bin
240,umuD,?,1,ecoli_data,{K-Means},og_bin
241,umuD,0,39,ecoli_data,{K-Means},og_bin
242,umuD,1,9,ecoli_data,{K-Means},og_bin
243,uvrA,?,1,ecoli_data,{K-Means},og_bin
244,uvrA,0,42,ecoli_data,{K-Means},og_bin
245,uvrA,1,6,ecoli_data,{K-Means},og_bin
246,uvrD,?,7,ecoli_data,{K-Means},og_bin
247,uvrD,0,27,ecoli_data,{K-Means},og_bin
248,uvrD,1,15,ecoli_data,{K-Means},og_bin
249,lexA,0,43,ecoli_data,{K-Means},bin_onlyMissForest
250,lexA,1,6,ecoli_data,{K-Means},bin_onlyMissForest
251,polB,0,22,ecoli_data,{K-Means},bin_onlyMissForest
