,gene,binary,count,dataset,binarization,impu
757,FKH2,0,12,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
758,FKH2,1,2,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
759,MBP1,0,14,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
760,MCM1,0,14,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
761,NDD1,0,9,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
762,NDD1,1,5,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
763,SWI4,0,14,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
764,SWI5,0,7,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
765,SWI5,1,7,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
766,SWI6,0,12,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
767,SWI6,1,2,yeast_cell,"{BASC A, Onestep}",bin_Prob_and_MissForest
768,ACE2,?,2,yeast_cell,"{K-Means, Onestep}",og_bin
769,ACE2,0,7,yeast_cell,"{K-Means, Onestep}",og_bin
770,ACE2,1,5,yeast_cell,"{K-Means, Onestep}",og_bin
771,CLN3,?,6,yeast_cell,"{K-Means, Onestep}",og_bin
772,CLN3,0,5,yeast_cell,"{K-Means, Onestep}",og_bin
773,CLN3,1,3,yeast_cell,"{K-Means, Onestep}",og_bin
774,FKH2,?,11,yeast_cell,"{K-Means, Onestep}",og_bin
775,FKH2,0,1,yeast_cell,"{K-Means, Onestep}",og_bin
776,FKH2,1,2,yeast_cell,"{K-Means, Onestep}",og_bin
777,MBP1,?,10,yeast_cell,"{K-Means, Onestep}",og_bin
778,MBP1,0,3,yeast_cell,"{K-Means, Onestep}",og_bin
779,MBP1,1,1,yeast_cell,"{K-Means, Onestep}",og_bin
780,MCM1,?,11,yeast_cell,"{K-Means, Onestep}",og_bin
781,MCM1,0,2,yeast_cell,"{K-Means, Onestep}",og_bin
782,MCM1,1,1,yeast_cell,"{K-Means, Onestep}",og_bin
783,NDD1,?,6,yeast_cell,"{K-Means, Onestep}",og_bin
784,NDD1,0,3,yeast_cell,"{K-Means, Onestep}",og_bin
785,NDD1,1,5,yeast_cell,"{K-Means, Onestep}",og_bin
786,SWI4,?,12,yeast_cell,"{K-Means, Onestep}",og_bin
787,SWI4,0,2,yeast_cell,"{K-Means, Onestep}",og_bin
788,SWI5,?,2,yeast_cell,"{K-Means, Onestep}",og_bin
789,SWI5,0,5,yeast_cell,"{K-Means, Onestep}",og_bin
790,SWI5,1,7,yeast_cell,"{K-Means, Onestep}",og_bin
791,SWI6,?,7,yeast_cell,"{K-Means, Onestep}",og_bin
792,SWI6,0,4,yeast_cell,"{K-Means, Onestep}",og_bin
793,SWI6,1,3,yeast_cell,"{K-Means, Onestep}",og_bin
794,ACE2,0,9,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
795,ACE2,1,5,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
796,CLN3,0,11,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
797,CLN3,1,3,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
798,FKH2,0,1,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
799,FKH2,1,13,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
800,MBP1,0,13,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
801,MBP1,1,1,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
802,MCM1,0,13,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
803,MCM1,1,1,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
804,NDD1,0,3,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
805,NDD1,1,11,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
806,SWI4,0,14,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
807,SWI5,0,5,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
808,SWI5,1,9,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
809,SWI6,0,11,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
810,SWI6,1,3,yeast_cell,"{K-Means, Onestep}",bin_onlyMissForest
811,ACE2,0,9,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
812,ACE2,1,5,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
813,CLN3,0,11,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
814,CLN3,1,3,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
815,FKH2,0,12,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
816,FKH2,1,2,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
817,MBP1,0,13,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
818,MBP1,1,1,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
819,MCM1,0,13,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
820,MCM1,1,1,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
821,NDD1,0,9,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
822,NDD1,1,5,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
823,SWI4,0,14,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
824,SWI5,0,7,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
825,SWI5,1,7,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
826,SWI6,0,11,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
827,SWI6,1,3,yeast_cell,"{K-Means, Onestep}",bin_Prob_and_MissForest
828,ACE2,?,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
829,ACE2,0,7,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
830,ACE2,1,5,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
831,CLN3,?,6,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
832,CLN3,0,5,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
833,CLN3,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
834,FKH2,?,11,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
835,FKH2,0,1,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
836,FKH2,1,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
837,MBP1,?,9,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
838,MBP1,0,4,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
839,MBP1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
840,MCM1,?,11,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
841,MCM1,0,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
842,MCM1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
843,NDD1,?,5,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
844,NDD1,0,3,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
845,NDD1,1,6,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
846,SWI4,?,10,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
847,SWI4,0,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
848,SWI4,1,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
849,SWI5,?,2,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
850,SWI5,0,5,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
851,SWI5,1,7,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
852,SWI6,?,7,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
853,SWI6,0,4,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
854,SWI6,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",og_bin
855,ACE2,0,9,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
856,ACE2,1,5,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
857,CLN3,0,11,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
858,CLN3,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
859,FKH2,0,1,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
860,FKH2,1,13,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
861,MBP1,0,13,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
862,MBP1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
863,MCM1,0,13,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
864,MCM1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
865,NDD1,0,3,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
866,NDD1,1,11,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
867,SWI4,0,12,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
868,SWI4,1,2,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
869,SWI5,0,5,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
870,SWI5,1,9,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
871,SWI6,0,11,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
872,SWI6,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",bin_onlyMissForest
873,ACE2,0,9,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
874,ACE2,1,5,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
875,CLN3,0,11,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
876,CLN3,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
877,FKH2,0,12,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
878,FKH2,1,2,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
879,MBP1,0,13,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
880,MBP1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
881,MCM1,0,13,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
882,MCM1,1,1,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
883,NDD1,0,8,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
884,NDD1,1,6,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
885,SWI4,0,12,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
886,SWI4,1,2,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
887,SWI5,0,7,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
888,SWI5,1,7,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
889,SWI6,0,11,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
890,SWI6,1,3,yeast_cell,"{BASC A, K-Means, Onestep}",bin_Prob_and_MissForest
