,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
21,LogicGep,K-Means,0.2465277777777778,0.38095238095238093,0.16666666666666666,0.4,0.23529411764705882
22,LogicGep,K-Means,0.2465277777777778,0.6666666666666666,0.4,0.8,0.5333333333333333
23,LogicGep,K-Means,0.2465277777777778,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
24,LogicGep,K-Means,0.2465277777777778,0.5714285714285714,0.3333333333333333,0.8,0.47058823529411764
25,LogicGep,K-Means,0.2465277777777778,0.6190476190476191,0.2857142857142857,0.4,0.3333333333333333
26,LogicGep,K-Means,0.2465277777777778,0.42857142857142855,0.18181818181818182,0.4,0.25
27,LogicGep,K-Means,0.2465277777777778,0.5714285714285714,0.3333333333333333,0.8,0.47058823529411764
28,LogicGep,K-Means,0.2465277777777778,0.47619047619047616,0.2857142857142857,0.8,0.42105263157894735
29,LogicGep,K-Means,0.2465277777777778,0.42857142857142855,0.1111111111111111,0.2,0.14285714285714285
30,LogicGep,K-Means,0.2465277777777778,0.47619047619047616,0.2,0.4,0.26666666666666666
31,LogicGep,K-Means,0.2465277777777778,0.5238095238095238,0.3076923076923077,0.8,0.4444444444444444
32,LogicGep,K-Means,0.2465277777777778,0.47619047619047616,0.2,0.4,0.26666666666666666
33,LogicGep,K-Means,0.2465277777777778,0.5714285714285714,0.3333333333333333,0.8,0.47058823529411764
34,LogicGep,K-Means,0.2465277777777778,0.47619047619047616,0.25,0.6,0.35294117647058826
35,LogicGep,K-Means,Mean: 0.24652777777777773 STD: 5.745950043620392e-17 SE: 1.4835979218054374e-17,Mean: 0.5111111111111112 STD: 0.07734387739071834 SE: 0.019970103271024033,Mean: 0.2490626040626041 STD: 0.08513833642594919 SE: 0.021982623940100365,Mean: 0.5466666666666667 STD: 0.23258383025317583 SE: 0.06005288674451218,Mean: 0.3398609772293983 STD: 0.12320477023008516 SE: 0.03181133488496208
36,LogicGep,Onestep,0.23611111111111116,0.38095238095238093,0.16666666666666666,0.4,0.23529411764705882
37,LogicGep,Onestep,0.23611111111111116,0.5714285714285714,0.3,0.6,0.4
38,LogicGep,Onestep,0.23611111111111116,0.5714285714285714,0.3,0.6,0.4
39,LogicGep,Onestep,0.23611111111111116,0.6666666666666666,0.4,0.8,0.5333333333333333
40,LogicGep,Onestep,0.23611111111111116,0.42857142857142855,0.23076923076923078,0.6,0.3333333333333333
41,LogicGep,Onestep,0.23611111111111116,0.42857142857142855,0.1111111111111111,0.2,0.14285714285714285
42,LogicGep,Onestep,0.23611111111111116,0.5714285714285714,0.25,0.4,0.3076923076923077
43,LogicGep,Onestep,0.23611111111111116,0.42857142857142855,0.23076923076923078,0.6,0.3333333333333333
44,LogicGep,Onestep,0.23611111111111116,0.5238095238095238,0.3333333333333333,1.0,0.5
45,LogicGep,Onestep,0.23611111111111116,0.47619047619047616,0.2,0.4,0.26666666666666666
46,LogicGep,Onestep,0.23611111111111116,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
47,LogicGep,Onestep,0.23611111111111116,0.38095238095238093,0.21428571428571427,0.6,0.3157894736842105
48,LogicGep,Onestep,0.23611111111111116,0.47619047619047616,0.2,0.4,0.26666666666666666
49,LogicGep,Onestep,0.23611111111111116,0.47619047619047616,0.2,0.4,0.26666666666666666
50,LogicGep,Onestep,0.23611111111111116,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
51,LogicGep,Onestep,Mean: 0.23611111111111116 STD: 0.0 SE: 0.0,Mean: 0.49523809523809526 STD: 0.08008741579734116 SE: 0.02067848184159274,Mean: 0.2387586487586488 STD: 0.07063075904749119 SE: 0.018236783568061483,Mean: 0.5200000000000001 STD: 0.19712215212183248 SE: 0.050896720822428146,Mean: 0.32487077422061944 STD: 0.1001138779980297 SE: 0.02584929214737401
52,LogicGep,Elected,0.23958333333333337,0.5238095238095238,0.2727272727272727,0.6,0.375
53,LogicGep,Elected,0.23958333333333337,0.5714285714285714,0.25,0.4,0.3076923076923077
54,LogicGep,Elected,0.23958333333333337,0.6190476190476191,0.36363636363636365,0.8,0.5
55,LogicGep,Elected,0.23958333333333337,0.6190476190476191,0.3333333333333333,0.6,0.42857142857142855
56,LogicGep,Elected,0.23958333333333337,0.47619047619047616,0.2,0.4,0.26666666666666666
57,LogicGep,Elected,0.23958333333333337,0.2857142857142857,0.08333333333333333,0.2,0.11764705882352941
58,LogicGep,Elected,0.23958333333333337,0.47619047619047616,0.125,0.2,0.15384615384615385
59,LogicGep,Elected,0.23958333333333337,0.5238095238095238,0.2222222222222222,0.4,0.2857142857142857
60,LogicGep,Elected,0.23958333333333337,0.38095238095238093,0.1,0.2,0.13333333333333333
61,LogicGep,Elected,0.23958333333333337,0.47619047619047616,0.2,0.4,0.26666666666666666
62,LogicGep,Elected,0.23958333333333337,0.7142857142857143,0.4444444444444444,0.8,0.5714285714285714
63,LogicGep,Elected,0.23958333333333337,0.3333333333333333,0.15384615384615385,0.4,0.2222222222222222
64,LogicGep,Elected,0.23958333333333337,0.5714285714285714,0.3,0.6,0.4
65,LogicGep,Elected,0.23958333333333337,0.47619047619047616,0.25,0.6,0.35294117647058826
66,LogicGep,Elected,0.23958333333333337,0.47619047619047616,0.2,0.4,0.26666666666666666
67,LogicGep,Elected,Mean: 0.23958333333333343 STD: 5.745950043620392e-17 SE: 1.4835979218054374e-17,Mean: 0.5015873015873016 STD: 0.11220709869966457 SE: 0.028971748306003516,Mean: 0.23323620823620822 STD: 0.09995978213318704 SE: 0.025809504766157006,Mean: 0.4666666666666667 STD: 0.19518001458970663 SE: 0.05039526306789696,Mean: 0.30989310254016134 STD: 0.1307126173244761 SE: 0.033749852669125266
68,Bestfit,BASC A,0.23263888888888884,0.42857142857142855,0.1111111111111111,0.2,0.14285714285714285
