,Method,Binarization,Dynamic Accuracy,Accuracy,Precision,Recall,F1-Score
91,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
92,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
93,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
94,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
95,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
96,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
97,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
98,Bestfit,K-Means,0.5833333333333334,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307693
99,Bestfit,K-Means,Mean: 0.5833333333333334 STD: 0.0 SE: 0.0,Mean: 0.6999999999999998 STD: 1.1491900087240784e-16 SE: 2.967195843610875e-17,Mean: 0.8333333333333336 STD: 2.298380017448157e-16 SE: 5.93439168722175e-17,Mean: 0.7142857142857141 STD: 2.298380017448157e-16 SE: 5.93439168722175e-17,Mean: 0.7692307692307695 STD: 2.298380017448157e-16 SE: 5.93439168722175e-17
100,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
101,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
102,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
103,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
104,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
105,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
106,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
107,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
108,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
109,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
110,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
111,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
112,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
113,Bestfit,Onestep,0.5833333333333334,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143
